DOI,Year
10.1007/11574620_74,2005
10.1007/11574620_75,2005
10.1007/11574620_76,2005
10.1007/11574620_77,2005
10.1007/11574620_78,2005
10.1007/11574620_79,2005
10.1007/11574620_8,2005
10.1007/11574620_9,2005
10.1007/11926078_1,2006
10.1007/11926078_10,2006
10.1007/11926078_11,2006
10.1007/11926078_12,2006
10.1007/11926078_13,2006
10.1007/11926078_14,2006
10.1007/11926078_15,2006
10.1007/11926078_16,2006
10.1007/11926078_17,2006
10.1007/11926078_18,2006
10.1007/11926078_19,2006
10.1007/11926078_2,2006
10.1007/11926078_20,2006
10.1007/11926078_21,2006
10.1007/11926078_22,2006
10.1007/11926078_23,2006
10.1007/11926078_24,2006
10.1007/11926078_25,2006
10.1007/11926078_26,2006
10.1007/11926078_27,2006
10.1007/11926078_28,2006
10.1007/11926078_29,2006
10.1007/11926078_3,2006
10.1007/11926078_30,2006
10.1007/11926078_31,2006
10.1007/11926078_32,2006
10.1007/11926078_33,2006
10.1007/11926078_34,2006
10.1007/11926078_35,2006
10.1007/11926078_36,2006
10.1007/11926078_37,2006
10.1007/11926078_38,2006
10.1007/11926078_39,2006
10.1007/11926078_4,2006
10.1007/11926078_40,2006
10.1007/11926078_41,2006
10.1007/11926078_42,2006
10.1007/11926078_43,2006
10.1007/11926078_44,2006
10.1007/11926078_45,2006
10.1007/11926078_46,2006
10.1007/11926078_47,2006
10.1007/11926078_48,2006
10.1007/11926078_49,2006
10.1007/11926078_5,2006
10.1007/11926078_50,2006
10.1007/11926078_51,2006
10.1007/11926078_52,2006
10.1007/11926078_53,2006
10.1007/11926078_54,2006
10.1007/11926078_55,2006
10.1007/11926078_56,2006
10.1007/11926078_57,2006
10.1007/11926078_58,2006
10.1007/11926078_59,2006
10.1007/11926078_6,2006
10.1007/11926078_60,2006
10.1007/11926078_61,2006
10.1007/11926078_62,2006
10.1007/11926078_63,2006
10.1007/11926078_64,2006
10.1007/11926078_65,2006
10.1007/11926078_66,2006
10.1007/11926078_67,2006
10.1007/11926078_68,2006
10.1007/11926078_69,2006
10.1007/11926078_7,2006
10.1007/11926078_70,2006
10.1007/11926078_71,2006
10.1007/11926078_72,2006
10.1007/11926078_73,2006
10.1007/11926078_74,2006
10.1007/11926078_75,2006
10.1007/11926078_76,2006
10.1007/11926078_77,2006
10.1007/11926078_78,2006
10.1007/11926078_79,2006
10.1007/11926078_8,2006
10.1007/11926078_80,2006
10.1007/11926078_81,2006
10.1007/11926078_82,2006
10.1007/11926078_83,2006
10.1007/11926078_84,2006
10.1007/11926078_85,2006
10.1007/11926078_86,2006
10.1007/11926078_9,2006
10.1007/978-3-540-76298-0_1,2007
10.1007/978-3-540-76298-0_10,2007
10.1007/978-3-540-76298-0_11,2007
10.1007/978-3-540-76298-0_12,2007
10.1007/978-3-540-76298-0_13,2007
10.1007/978-3-540-76298-0_14,2007
10.1007/978-3-540-76298-0_15,2007
10.1007/978-3-540-76298-0_16,2007
10.1007/978-3-540-76298-0_17,2007
10.1007/978-3-540-76298-0_18,2007
10.1007/978-3-540-76298-0_19,2007
10.1007/978-3-540-76298-0_2,2007
10.1007/978-3-540-76298-0_20,2007
10.1007/978-3-540-76298-0_21,2007
10.1007/978-3-540-76298-0_22,2007
10.1007/978-3-540-76298-0_23,2007
10.1007/978-3-540-76298-0_24,2007
10.1007/978-3-540-76298-0_25,2007
10.1007/978-3-540-76298-0_26,2007
10.1007/978-3-540-76298-0_27,2007
10.1007/978-3-540-76298-0_28,2007
10.1007/978-3-540-76298-0_29,2007
10.1007/978-3-540-76298-0_3,2007
10.1007/978-3-540-76298-0_30,2007
10.1007/978-3-540-76298-0_31,2007
10.1007/978-3-540-76298-0_32,2007
10.1007/978-3-540-76298-0_33,2007
10.1007/978-3-540-76298-0_34,2007
10.1007/978-3-540-76298-0_35,2007
10.1007/978-3-540-76298-0_36,2007
10.1007/978-3-540-76298-0_37,2007
10.1007/978-3-540-76298-0_38,2007
10.1007/978-3-540-76298-0_39,2007
10.1007/978-3-540-76298-0_4,2007
10.1007/978-3-540-76298-0_40,2007
10.1007/978-3-540-76298-0_41,2007
10.1007/978-3-540-76298-0_42,2007
10.1007/978-3-540-76298-0_43,2007
10.1007/978-3-540-76298-0_44,2007
10.1007/978-3-540-76298-0_45,2007
10.1007/978-3-540-76298-0_46,2007
10.1007/978-3-540-76298-0_47,2007
10.1007/978-3-540-76298-0_48,2007
10.1007/978-3-540-76298-0_49,2007
10.1007/978-3-540-76298-0_5,2007
10.1007/978-3-540-76298-0_50,2007
10.1007/978-3-540-76298-0_51,2007
10.1007/978-3-540-76298-0_52,2007
10.1007/978-3-540-76298-0_53,2007
10.1007/978-3-540-76298-0_54,2007
10.1007/978-3-540-76298-0_55,2007
10.1007/978-3-540-76298-0_56,2007
10.1007/978-3-540-76298-0_57,2007
10.1007/978-3-540-76298-0_58,2007
10.1007/978-3-540-76298-0_59,2007
10.1007/978-3-540-76298-0_6,2007
10.1007/978-3-540-76298-0_60,2007
10.1007/978-3-540-76298-0_61,2007
10.1007/978-3-540-76298-0_62,2007
10.1007/978-3-540-76298-0_63,2007
10.1007/978-3-540-76298-0_64,2007
10.1007/978-3-540-76298-0_65,2007
10.1007/978-3-540-76298-0_66,2007
10.1007/978-3-540-76298-0_67,2007
10.1007/978-3-540-76298-0_68,2007
10.1007/978-3-540-76298-0_69,2007
10.1007/978-3-540-76298-0_7,2007
10.1007/978-3-540-76298-0_70,2007
10.1007/978-3-540-76298-0_71,2007
10.1007/978-3-540-76298-0_72,2007
10.1007/978-3-540-76298-0_73,2007
10.1007/978-3-540-76298-0_74,2007
10.1007/978-3-540-76298-0_75,2007
10.1007/978-3-540-76298-0_76,2007
10.1007/978-3-540-76298-0_77,2007
10.1007/978-3-540-76298-0_78,2007
10.1007/978-3-540-76298-0_79,2007
10.1007/978-3-540-76298-0_8,2007
10.1007/978-3-540-76298-0_9,2007
10.1007/978-3-540-88564-1_1,2008
10.1007/978-3-540-88564-1_10,2008
10.1007/978-3-540-88564-1_11,2008
10.1007/978-3-540-88564-1_12,2008
10.1007/978-3-540-88564-1_13,2008
10.1007/978-3-540-88564-1_14,2008
10.1007/978-3-540-88564-1_15,2008
10.1007/978-3-540-88564-1_16,2008
10.1007/978-3-540-88564-1_17,2008
10.1007/978-3-540-88564-1_18,2008
10.1007/978-3-540-88564-1_19,2008
10.1007/978-3-540-88564-1_2,2008
10.1007/978-3-540-88564-1_20,2008
10.1007/978-3-540-88564-1_21,2008
10.1007/978-3-540-88564-1_22,2008
10.1007/978-3-540-88564-1_23,2008
10.1007/978-3-540-88564-1_24,2008
10.1007/978-3-540-88564-1_25,2008
10.1007/978-3-540-88564-1_26,2008
10.1007/978-3-540-88564-1_27,2008
10.1007/978-3-540-88564-1_28,2008
10.1007/978-3-540-88564-1_29,2008
10.1007/978-3-540-88564-1_3,2008
10.1007/978-3-540-88564-1_30,2008
10.1007/978-3-540-88564-1_31,2008
10.1007/978-3-540-88564-1_32,2008
10.1007/978-3-540-88564-1_33,2008
10.1007/978-3-540-88564-1_34,2008
10.1007/978-3-540-88564-1_35,2008
10.1007/978-3-540-88564-1_36,2008
10.1007/978-3-540-88564-1_37,2008
10.1007/978-3-540-88564-1_38,2008
10.1007/978-3-540-88564-1_39,2008
10.1007/978-3-540-88564-1_4,2008
10.1007/978-3-540-88564-1_40,2008
10.1007/978-3-540-88564-1_41,2008
10.1007/978-3-540-88564-1_42,2008
10.1007/978-3-540-88564-1_43,2008
10.1007/978-3-540-88564-1_44,2008
10.1007/978-3-540-88564-1_45,2008
10.1007/978-3-540-88564-1_46,2008
10.1007/978-3-540-88564-1_47,2008
10.1007/978-3-540-88564-1_48,2008
10.1007/978-3-540-88564-1_49,2008
10.1007/978-3-540-88564-1_5,2008
10.1007/978-3-540-88564-1_50,2008
10.1007/978-3-540-88564-1_51,2008
10.1007/978-3-540-88564-1_52,2008
10.1007/978-3-540-88564-1_53,2008
10.1007/978-3-540-88564-1_54,2008
10.1007/978-3-540-88564-1_55,2008
10.1007/978-3-540-88564-1_56,2008
10.1007/978-3-540-88564-1_57,2008
10.1007/978-3-540-88564-1_58,2008
10.1007/978-3-540-88564-1_59,2008
10.1007/978-3-540-88564-1_6,2008
10.1007/978-3-540-88564-1_60,2008
10.1007/978-3-540-88564-1_61,2008
10.1007/978-3-540-88564-1_62,2008
10.1007/978-3-540-88564-1_63,2008
10.1007/978-3-540-88564-1_64,2008
10.1007/978-3-540-88564-1_7,2008
10.1007/978-3-540-88564-1_8,2008
10.1007/978-3-540-88564-1_9,2008
10.1007/978-3-642-04930-9_1,2009
10.1007/978-3-642-04930-9_10,2009
10.1007/978-3-642-04930-9_11,2009
10.1007/978-3-642-04930-9_12,2009
10.1007/978-3-642-04930-9_13,2009
10.1007/978-3-642-04930-9_14,2009
10.1007/978-3-642-04930-9_15,2009
10.1007/978-3-642-04930-9_16,2009
10.1007/978-3-642-04930-9_17,2009
10.1007/978-3-642-04930-9_18,2009
10.1007/978-3-642-04930-9_19,2009
10.1007/978-3-642-04930-9_2,2009
10.1007/978-3-642-04930-9_20,2009
10.1007/978-3-642-04930-9_21,2009
10.1007/978-3-642-04930-9_22,2009
10.1007/978-3-642-04930-9_23,2009
10.1007/978-3-642-04930-9_24,2009
10.1007/978-3-642-04930-9_25,2009
10.1007/978-3-642-04930-9_26,2009
10.1007/978-3-642-04930-9_27,2009
10.1007/978-3-642-04930-9_28,2009
10.1007/978-3-642-04930-9_29,2009
10.1007/978-3-642-04930-9_3,2009
10.1007/978-3-642-04930-9_30,2009
10.1007/978-3-642-04930-9_31,2009
10.1007/978-3-642-04930-9_32,2009
10.1007/978-3-642-04930-9_33,2009
10.1007/978-3-642-04930-9_34,2009
10.1007/978-3-642-04930-9_35,2009
10.1007/978-3-642-04930-9_36,2009
10.1007/978-3-642-04930-9_37,2009
10.1007/978-3-642-04930-9_38,2009
10.1007/978-3-642-04930-9_39,2009
10.1007/978-3-642-04930-9_4,2009
10.1007/978-3-642-04930-9_40,2009
10.1007/978-3-642-04930-9_41,2009
10.1007/978-3-642-04930-9_42,2009
10.1007/978-3-642-04930-9_43,2009
10.1007/978-3-642-04930-9_44,2009
10.1007/978-3-642-04930-9_45,2009
10.1007/978-3-642-04930-9_46,2009
10.1007/978-3-642-04930-9_47,2009
10.1007/978-3-642-04930-9_48,2009
10.1007/978-3-642-04930-9_49,2009
10.1007/978-3-642-04930-9_5,2009
10.1007/978-3-642-04930-9_50,2009
10.1007/978-3-642-04930-9_51,2009
10.1007/978-3-642-04930-9_52,2009
10.1007/978-3-642-04930-9_53,2009
10.1007/978-3-642-04930-9_54,2009
10.1007/978-3-642-04930-9_55,2009
10.1007/978-3-642-04930-9_56,2009
10.1007/978-3-642-04930-9_57,2009
10.1007/978-3-642-04930-9_58,2009
10.1007/978-3-642-04930-9_59,2009
10.1007/978-3-642-04930-9_6,2009
10.1007/978-3-642-04930-9_60,2009
10.1007/978-3-642-04930-9_61,2009
10.1007/978-3-642-04930-9_62,2009
10.1007/978-3-642-04930-9_63,2009
10.1007/978-3-642-04930-9_64,2009
10.1007/978-3-642-04930-9_65,2009
10.1007/978-3-642-04930-9_66,2009
10.1007/978-3-642-04930-9_67,2009
10.1007/978-3-642-04930-9_7,2009
10.1007/978-3-642-04930-9_8,2009
10.1007/978-3-642-04930-9_9,2009
10.1007/978-3-642-17746-0_1,2010
10.1007/978-3-642-17746-0_10,2010
10.1007/978-3-642-17746-0_11,2010
10.1007/978-3-642-17746-0_12,2010
10.1007/978-3-642-17746-0_13,2010
10.1007/978-3-642-17746-0_14,2010
10.1007/978-3-642-17746-0_15,2010
10.1007/978-3-642-17746-0_16,2010
10.1007/978-3-642-17746-0_17,2010
10.1007/978-3-642-17746-0_18,2010
10.1007/978-3-642-17746-0_19,2010
10.1007/978-3-642-17746-0_2,2010
10.1007/978-3-642-17746-0_20,2010
10.1007/978-3-642-17746-0_21,2010
10.1007/978-3-642-17746-0_22,2010
10.1007/978-3-642-17746-0_23,2010
10.1007/978-3-642-17746-0_24,2010
10.1007/978-3-642-17746-0_25,2010
10.1007/978-3-642-17746-0_26,2010
10.1007/978-3-642-17746-0_27,2010
10.1007/978-3-642-17746-0_28,2010
10.1007/978-3-642-17746-0_29,2010
10.1007/978-3-642-17746-0_3,2010
10.1007/978-3-642-17746-0_30,2010
10.1007/978-3-642-17746-0_31,2010
10.1007/978-3-642-17746-0_32,2010
10.1007/978-3-642-17746-0_33,2010
10.1007/978-3-642-17746-0_34,2010
10.1007/978-3-642-17746-0_35,2010
10.1007/978-3-642-17746-0_36,2010
10.1007/978-3-642-17746-0_37,2010
10.1007/978-3-642-17746-0_38,2010
10.1007/978-3-642-17746-0_39,2010
10.1007/978-3-642-17746-0_4,2010
10.1007/978-3-642-17746-0_40,2010
10.1007/978-3-642-17746-0_41,2010
10.1007/978-3-642-17746-0_42,2010
10.1007/978-3-642-17746-0_43,2010
10.1007/978-3-642-17746-0_44,2010
10.1007/978-3-642-17746-0_45,2010
10.1007/978-3-642-17746-0_46,2010
10.1007/978-3-642-17746-0_47,2010
10.1007/978-3-642-17746-0_48,2010
10.1007/978-3-642-17746-0_49,2010
10.1007/978-3-642-17746-0_5,2010
10.1007/978-3-642-17746-0_50,2010
10.1007/978-3-642-17746-0_51,2010
10.1007/978-3-642-17746-0_6,2010
10.1007/978-3-642-17746-0_7,2010
10.1007/978-3-642-17746-0_8,2010
10.1007/978-3-642-17746-0_9,2010
10.1007/978-3-642-17749-1_1,2010
10.1007/978-3-642-17749-1_10,2010
10.1007/978-3-642-17749-1_11,2010
10.1007/978-3-642-17749-1_12,2010
10.1007/978-3-642-17749-1_13,2010
10.1007/978-3-642-17749-1_14,2010
10.1007/978-3-642-17749-1_15,2010
10.1007/978-3-642-17749-1_16,2010
10.1007/978-3-642-17749-1_17,2010
10.1007/978-3-642-17749-1_18,2010
10.1007/978-3-642-17749-1_19,2010
10.1007/978-3-642-17749-1_2,2010
10.1007/978-3-642-17749-1_20,2010
10.1007/978-3-642-17749-1_21,2010
10.1007/978-3-642-17749-1_22,2010
10.1007/978-3-642-17749-1_23,2010
10.1007/978-3-642-17749-1_24,2010
10.1007/978-3-642-17749-1_25,2010
10.1007/978-3-642-17749-1_26,2010
10.1007/978-3-642-17749-1_27,2010
10.1007/978-3-642-17749-1_28,2010
10.1007/978-3-642-17749-1_3,2010
10.1007/978-3-642-17749-1_4,2010
10.1007/978-3-642-17749-1_5,2010
10.1007/978-3-642-17749-1_6,2010
10.1007/978-3-642-17749-1_7,2010
10.1007/978-3-642-17749-1_8,2010
10.1007/978-3-642-17749-1_9,2010
10.1007/978-3-642-25073-6_1,2011
10.1007/978-3-642-25073-6_10,2011
10.1007/978-3-642-25073-6_11,2011
10.1007/978-3-642-25073-6_12,2011
10.1007/978-3-642-25073-6_13,2011
10.1007/978-3-642-25073-6_14,2011
10.1007/978-3-642-25073-6_15,2011
10.1007/978-3-642-25073-6_16,2011
10.1007/978-3-642-25073-6_17,2011
10.1007/978-3-642-25073-6_18,2011
10.1007/978-3-642-25073-6_19,2011
10.1007/978-3-642-25073-6_2,2011
10.1007/978-3-642-25073-6_20,2011
10.1007/978-3-642-25073-6_21,2011
10.1007/978-3-642-25073-6_22,2011
10.1007/978-3-642-25073-6_23,2011
10.1007/978-3-642-25073-6_24,2011
10.1007/978-3-642-25073-6_25,2011
10.1007/978-3-642-25073-6_26,2011
10.1007/978-3-642-25073-6_27,2011
10.1007/978-3-642-25073-6_28,2011
10.1007/978-3-642-25073-6_29,2011
10.1007/978-3-642-25073-6_3,2011
10.1007/978-3-642-25073-6_30,2011
10.1007/978-3-642-25073-6_31,2011
10.1007/978-3-642-25073-6_32,2011
10.1007/978-3-642-25073-6_33,2011
10.1007/978-3-642-25073-6_34,2011
10.1007/978-3-642-25073-6_35,2011
10.1007/978-3-642-25073-6_36,2011
10.1007/978-3-642-25073-6_37,2011
10.1007/978-3-642-25073-6_38,2011
10.1007/978-3-642-25073-6_39,2011
10.1007/978-3-642-25073-6_4,2011
10.1007/978-3-642-25073-6_40,2011
10.1007/978-3-642-25073-6_41,2011
10.1007/978-3-642-25073-6_42,2011
10.1007/978-3-642-25073-6_43,2011
10.1007/978-3-642-25073-6_44,2011
10.1007/978-3-642-25073-6_45,2011
10.1007/978-3-642-25073-6_46,2011
10.1007/978-3-642-25073-6_47,2011
10.1007/978-3-642-25073-6_48,2011
10.1007/978-3-642-25073-6_49,2011
10.1007/978-3-642-25073-6_5,2011
10.1007/978-3-642-25073-6_50,2011
10.1007/978-3-642-25073-6_6,2011
10.1007/978-3-642-25073-6_7,2011
10.1007/978-3-642-25073-6_8,2011
10.1007/978-3-642-25073-6_9,2011
10.1007/978-3-642-25093-4_1,2011
10.1007/978-3-642-25093-4_10,2011
10.1007/978-3-642-25093-4_11,2011
10.1007/978-3-642-25093-4_12,2011
10.1007/978-3-642-25093-4_13,2011
10.1007/978-3-642-25093-4_14,2011
10.1007/978-3-642-25093-4_15,2011
10.1007/978-3-642-25093-4_16,2011
10.1007/978-3-642-25093-4_17,2011
10.1007/978-3-642-25093-4_18,2011
10.1007/978-3-642-25093-4_19,2011
10.1007/978-3-642-25093-4_2,2011
10.1007/978-3-642-25093-4_20,2011
10.1007/978-3-642-25093-4_21,2011
10.1007/978-3-642-25093-4_22,2011
10.1007/978-3-642-25093-4_23,2011
10.1007/978-3-642-25093-4_24,2011
10.1007/978-3-642-25093-4_25,2011
10.1007/978-3-642-25093-4_26,2011
10.1007/978-3-642-25093-4_27,2011
10.1007/978-3-642-25093-4_28,2011
10.1007/978-3-642-25093-4_29,2011
10.1007/978-3-642-25093-4_3,2011
10.1007/978-3-642-25093-4_30,2011
10.1007/978-3-642-25093-4_31,2011
10.1007/978-3-642-25093-4_32,2011
10.1007/978-3-642-25093-4_33,2011
10.1007/978-3-642-25093-4_34,2011
10.1007/978-3-642-25093-4_35,2011
10.1007/978-3-642-25093-4_4,2011
10.1007/978-3-642-25093-4_5,2011
10.1007/978-3-642-25093-4_6,2011
10.1007/978-3-642-25093-4_7,2011
10.1007/978-3-642-25093-4_8,2011
10.1007/978-3-642-25093-4_9,2011
10.1007/978-3-642-35173-0_1,2012
10.1007/978-3-642-35173-0_10,2012
10.1007/978-3-642-35173-0_11,2012
10.1007/978-3-642-35173-0_12,2012
10.1007/978-3-642-35173-0_13,2012
10.1007/978-3-642-35173-0_14,2012
10.1007/978-3-642-35173-0_15,2012
10.1007/978-3-642-35173-0_16,2012
10.1007/978-3-642-35173-0_17,2012
10.1007/978-3-642-35173-0_18,2012
10.1007/978-3-642-35173-0_19,2012
10.1007/978-3-642-35173-0_2,2012
10.1007/978-3-642-35173-0_20,2012
10.1007/978-3-642-35173-0_21,2012
10.1007/978-3-642-35173-0_22,2012
10.1007/978-3-642-35173-0_23,2012
10.1007/978-3-642-35173-0_24,2012
10.1007/978-3-642-35173-0_25,2012
10.1007/978-3-642-35173-0_26,2012
10.1007/978-3-642-35173-0_27,2012
10.1007/978-3-642-35173-0_28,2012
10.1007/978-3-642-35173-0_29,2012
10.1007/978-3-642-35173-0_3,2012
10.1007/978-3-642-35173-0_30,2012
10.1007/978-3-642-35173-0_31,2012
10.1007/978-3-642-35173-0_32,2012
10.1007/978-3-642-35173-0_33,2012
10.1007/978-3-642-35173-0_34,2012
